stock_id,stock_name,candidate_name
250,휴맥스홀딩스,안철수
251,흥국,이재명
252,흥아해운,안철수
253,CS,이재명
254,DSR,홍준표
255,DSR,유승민
256,DSR제강,홍준표
257,DSR제강,유승민
258,GH신소재,우원식
259,iMBC,박영선
260,KCC건설,한동훈
261,KD,이재명
262,KD,오세훈
263,KNN,홍준표
264,LS네트웍스,이재명
265,MH에탄올,홍준표
266,NE능률,오세훈
267,PN풍년,김동연
268,SDN,유승민
269,SG글로벌,김동연
270,TKG애강,이재명
271,TP,한동훈
272,WISCOM,이재명
273,YBM넷,이준석
